Section,Type,ID,Language,Field,Content,Ecosystem Impact (-50 to +50),Economic Impact (-50 to +50),Community Impact (-50 to +50),Notes		
SCENARIOS,title,plastic-pollution,en,title,Trash Attack!						
SCENARIOS,description,plastic-pollution,en,description,Plastic bags and bottles are washing up on Nova Scotia beaches. Sea turtles think plastic bags are jellyfish and try to eat them. Fish and seabirds get tangled up in bottle rings. What should we do to help?						
SCENARIOS,choice,plastic-pollution_ban-plastics,en,text,Ban single-use plastics like bags and straws,20,-5,5			
SCENARIOS,consequence,plastic-pollution_ban-plastics,en,consequence,Good first step! With less plastic trash sea animals are much safer. Whales fish and sea birds can swim and fly without getting hurt.						
SCENARIOS,pros,plastic-pollution_ban-plastics,en,pros,Sea animals will be less likely to be hurt by plastic. Beaches become cleaner over time.						
SCENARIOS,cons,plastic-pollution_ban-plastics,en,cons,People need to remember to bring their own bags. Some things might cost a bit more.						
SCENARIOS,choice,plastic-pollution_ignore-problem,en,text,Keep using plastic but try and recycle as much as possible,-30,0,-10			
SCENARIOS,consequence,plastic-pollution_ignore-problem,en,consequence,Good choice less plastic is getting into the ocean but many plastics are hard to recycle and may still pollute the environment.						
SCENARIOS,pros,plastic-pollution_ignore-problem,en,pros,People don't have to change their shopping habits.						
SCENARIOS,cons,plastic-pollution_ignore-problem,en,cons,Sea turtles and fish keep getting hurt. Beaches remain dirty.						
SCENARIOS,choice,plastic-pollution_beach-cleanup,en,text,Organize awesome beach cleanup parties,10,0,20			
SCENARIOS,consequence,plastic-pollution_beach-cleanup,en,consequence,Great idea! Every piece of trash we pick up helps protect sea life. Plus it's fun to do with friends!						
SCENARIOS,pros,plastic-pollution_beach-cleanup,en,pros,Helps animals right away. Actually removes a threat that is already there.						
SCENARIOS,cons,plastic-pollution_beach-cleanup,en,cons,Only cleans up old trash. New trash keeps coming unless we change our habits.						
SCENARIOS,title,fishing-practices,en,title,Fish for the Future						
SCENARIOS,description,fishing-practices,en,description,Fishing boats catch many tons of fish every day near Nova Scotia. Fishing gives people jobs and provides heathy food. But if we catch too many fish nothing will be left for the future. How can we fish smartly and sustainably?						
SCENARIOS,choice,fishing-practices_sustainable-quotas,en,text,Set tight limits on how many fish we can catch,25,-5,10			
