Section,Type,ID,Language,Field,Content,Ecosystem Impact (-50 to +50),Economic Impact (-50 to +50),Community Impact (-50 to +50),Notes
SCENARIOS,title,plastic-pollution,en,title,1. Trash Attack!,,,,
SCENARIOS,description,plastic-pollution,en,description,Plastic bags and bottles are washing up daily on Nova Scotia's beaches. Sea turtles think plastic bags are jellyfish and try to eat them. Fish and seabirds get tangled up in bottle rings. What should we do to help?,,,,
SCENARIOS,choice,plastic-pollution_ban-plastics,en,text,"Ban certain single-use plastics, like produce bags and cling wrap",20,-5,5,
SCENARIOS,consequence,plastic-pollution_ban-plastics,en,consequence,Less plastic trash ends up in our oceans. ,,,,
SCENARIOS,pros,plastic-pollution_ban-plastics,en,pros,Fewer marine animals will be hurt by plastic. Beaches become cleaner over time.,,,,
SCENARIOS,cons,plastic-pollution_ban-plastics,en,cons,People may not have access to products they want. Some things may get more expensive.,,,,
SCENARIOS,choice,plastic-pollution_ignore-problem,en,text,Keep using plastic but create better recycling programs,-30,0,-10,
SCENARIOS,consequence,plastic-pollution_ignore-problem,en,consequence,Less plastic gets into the ocean. But many plastics are hard to recycle and may still pollute the environment.,,,,
SCENARIOS,pros,plastic-pollution_ignore-problem,en,pros,People have access to the same products they do now.,,,,
SCENARIOS,cons,plastic-pollution_ignore-problem,en,cons,Sea turtles and fish keep getting hurt. Beaches remain littered.,,,,
SCENARIOS,choice,plastic-pollution_beach-cleanup,en,text,Organize community beach clean ups,10,0,20,
SCENARIOS,consequence,plastic-pollution_beach-cleanup,en,consequence,Helps protect marine life right away.  ,,,,
SCENARIOS,pros,plastic-pollution_beach-cleanup,en,pros, Every piece of trash we pick up helps keep animals safe and our beaches beautiful. Brings communities together around a shared goal.,,,,
SCENARIOS,cons,plastic-pollution_beach-cleanup,en,cons,Only cleans up old trash. New plastic keeps coming unless we change our habits.,,,,
SCENARIOS,title,fishing-practices,en,title,Fish for the Future,,,,
SCENARIOS,description,fishing-practices,en,description,"Fishing boats catch many tons of fish every day near Nova Scotia. Fishing gives people jobs and provides nutritious food. But if we catch too many fish, nothing will be left for the future. How can we fish smartly and sustainably?",,,,
SCENARIOS,choice,fishing-practices_sustainable-quotas,en,text,Set stricter limits on how many fish we can catch,25,-5,10,
SCENARIOS,consequence,fishing-practices_sustainable-quotas,en,consequence,"By leaving enough fish behind, we make sure the population can continue to regenerate. ",,,,
SCENARIOS,pros,fishing-practices_sustainable-quotas,en,pros,Fish populations stay healthy and grow. Fishing jobs last for many years.,,,,
SCENARIOS,cons,fishing-practices_sustainable-quotas,en,cons,Fishers may earn less money at first,,,,
SCENARIOS,choice,fishing-practices_unlimited-fishing,en,text,Catch only species that are most abundant,-35,15,-15,
SCENARIOS,consequence,fishing-practices_unlimited-fishing,en,consequence," Even the most abundant species can be overfished. Without clear limits, they may eventually dissapear. ",,,,
SCENARIOS,pros,fishing-practices_unlimited-fishing,en,pros,Fishers make more money in the short term.,,,,
SCENARIOS,cons,fishing-practices_unlimited-fishing,en,cons,Some fish species vanish. Fishing jobs decline in the long term. ,,,,
SCENARIOS,choice,fishing-practices_marine-reserves,en,text,Create protected zones with no fishing allowed,30,-10,5,
SCENARIOS,consequence,fishing-practices_marine-reserves,en,consequence," Well-placed protected zones give fish safe places to grow and reproduce.  When fish leave these areas, they replenish other places too. ",,,,
SCENARIOS,pros,fishing-practices_marine-reserves,en,pros,Fish populations stay healthy and grow. ,,,,
SCENARIOS,cons,fishing-practices_marine-reserves,en,cons,Fewer places are left to fish. Overfishing can still continue elsewhere. ,,,,
SCENARIOS,title,shipping-traffic,en,title,Whale Highway Danger,,,,
SCENARIOS,description,shipping-traffic,en,description,"Large ships that carry goods and people across the ocean sometimes hit North Atlantic right whales. With fewer than than 400 left in the world, this species is at risk of extinction. How should we help?",,,,
SCENARIOS,choice,shipping-traffic_speed-restrictions,en,text,Slow ships down in areas where whales are abundant.,15,-8,0,
SCENARIOS,consequence,shipping-traffic_speed-restrictions,en,consequence,"When ships move more slowly, they are less likely to kill a whale if they hit one. It's like a speed limit for the ocean.",,,,
SCENARIOS,pros,shipping-traffic_speed-restrictions,en,pros,Saves whale lives.,,,,
SCENARIOS,cons,shipping-traffic_speed-restrictions,en,cons,"Ships take longer to deliver goods, slowing down our supply chain. Shipping also costs more money, which could mean products we rely on get more expensive. ",,,,
SCENARIOS,choice,shipping-traffic_ignore-whales,en,text,Move shipping lanes to completely avoid feeding ground and migratory routes,10,-5,0,
SCENARIOS,consequence,shipping-traffic_ignore-whales,en,consequence,Fewer whales get hit and die if ships are moved from the areas where they are most common.,,,,
SCENARIOS,pros,shipping-traffic_ignore-whales,en,pros,The North Atlantic right whale population will have a better chance of recovering. ,,,,
SCENARIOS,cons,shipping-traffic_ignore-whales,en,cons,It could take longer to get the products we need. Whales can still swim into new shipping lanes. ,,,,
SCENARIOS,choice,shipping-traffic_detection-systems,en,text,Put whale-spotting personnel and technology on ships,25,-15,5,
SCENARIOS,consequence,shipping-traffic_detection-systems,en,consequence, Satellite data  and spotters can alert ship captains when whales are nearby. ,,,,
SCENARIOS,pros,shipping-traffic_detection-systems,en,pros,Ships have the informatoin to avoid hitting whales. ,,,,
SCENARIOS,cons,shipping-traffic_detection-systems,en,cons,"Creates additional costs for shipping companies, which may get passed on to customers.",,,,
SCENARIOS,title,renewable-energy,en,title,Ocean Wind Power,,,,
SCENARIOS,description,renewable-energy,en,description,"Nova Scotia wants to build large wind turbines in the ocean. These could power our homes with clean electricity, reducing our carbon footprint. But building and operating them might cause noise that disturbs whales, fish, and seabirds. What's the best plan?",,,,
SCENARIOS,choice,renewable-energy_careful-planning,en,text,Plan carefully to avoid whale and bird migration routes,15,5,20,
SCENARIOS,consequence,renewable-energy_careful-planning,en,consequence, We get more clean energy while protecting busy animal highways.,,,,
SCENARIOS,pros,renewable-energy_careful-planning,en,pros,We can lower our carbon footprint without hurting marine life.,,,,
SCENARIOS,cons,renewable-energy_careful-planning,en,cons,Takes longer to plan. May be further from shore and more expensive.,,,,
SCENARIOS,choice,renewable-energy_no-renewables,en,text,Ban the construction of ocean wind farms ,-10,-5,-15,
SCENARIOS,consequence,renewable-energy_no-renewables,en,consequence,"While some animals are kept safe from noise pollution, we have less clean energy. ",,,,
SCENARIOS,pros,renewable-energy_no-renewables,en,pros,"No added stress to whales, fish and seabirds from noise pollution",,,,
SCENARIOS,cons,renewable-energy_no-renewables,en,cons,"We may have to keep burning fossil fuels, which impacts even more marine species. ",,,,
SCENARIOS,choice,renewable-energy_adaptive-technology,en,text,Design quieter wind turbines,20,-5,15,
SCENARIOS,consequence,renewable-energy_adaptive-technology,en,consequence, New quiet designs minimize noise and may become artificial reefs that attract fish and other sea life.,,,,
SCENARIOS,pros,renewable-energy_adaptive-technology,en,pros,Reduces noise pollution and its impacts on marine life.,,,,
SCENARIOS,cons,renewable-energy_adaptive-technology,en,cons,More expensive to develop. New technology might not always work as expected.,,,,
SCENARIOS,title,coastal-development,en,title,Building by the Beach,,,,
SCENARIOS,description,coastal-development,en,description,"More people are moving to Nova Scotia's beautiful coastline. New houses, cottages, and hotels are being built. But development can damage coastal habitats and cause pollution and erosion. How should we build responsibly?",,,,
SCENARIOS,choice,coastal-development_green-development,en,text,Use building methods that minimize the harm to habitats and water quality.,20,-5,15,
SCENARIOS,consequence,coastal-development_green-development,en,consequence,There is less pollution in the environment. ,,,,
SCENARIOS,pros,coastal-development_green-development,en,pros,Coastal and marine ecosystems are not as badly impacted. ,,,,
SCENARIOS,cons,coastal-development_green-development,en,cons,More expensive to build. Takes longer to finish projects.,,,,
SCENARIOS,choice,coastal-development_unrestricted-development,en,text,Prevent all development on coastal lands,30,-10,-10,
SCENARIOS,consequence,coastal-development_unrestricted-development,en,consequence,Coastal habitats and public access to the shoreline are protected,,,,
SCENARIOS,pros,coastal-development_unrestricted-development,en,pros,Ecosystems can thrive. ,,,,
SCENARIOS,cons,coastal-development_unrestricted-development,en,cons,Reduces the area available for people to live and forces them to build further inland.,,,,
SCENARIOS,choice,coastal-development_buffer-zones-coastal,en,text,Build further from shore. Leave natural spaces between buildings and water,25,-8,12,
SCENARIOS,consequence,coastal-development_buffer-zones-coastal,en,consequence," These coastal buffers zones work like filters, cleaning dirty water before it reaches the ocean.",,,,
SCENARIOS,pros,coastal-development_buffer-zones-coastal,en,pros,Water quality is maintained and houses are safer from storms.,,,,
SCENARIOS,cons,coastal-development_buffer-zones-coastal,en,cons,Less space available for building. Ocean views are reduced. ,,,,
SCENARIOS,title,plastic-pollution,fr,title,Les déchets à l’attaque !,,,,
SCENARIOS,description,plastic-pollution,fr,description,"Des sacs et des bouteilles en plastique s’échouent quotidiennement sur les plages de la Nouvelle-Écosse. Les tortues de mer prennent ces sacs plastiques pour des méduses, et essaient de les manger. Les poissons et les oiseaux marins se font prendre dans des anneaux de bouteille. Que devrions-nous faire pour aider ?",,,,
SCENARIOS,choice,plastic-pollution_ban-plastics,fr,text,"Interdire certains plastiques à usage unique, comme les sacs en plastique pour les fruits et légumes ainsi que le film alimentaire.",20,-5,5,
SCENARIOS,consequence,plastic-pollution_ban-plastics,fr,consequence,Moins de déchets plastiques finissent dans nos océans.,,,,
